무명
하쿠레이 레이무
키리사메 마리사
Singyoku
Yuugenmagan
Elis
Sariel
Mima (미마)
Kikuri
Konngara
리카
봉마록 2번 중보스 (저주 소녀)
메이라
봉마록 4면 중보스 (천사)
엘렌
코토히메
카나 아나베랄
아사쿠라 리카코
키타시라카와 치유리
오카자키 유메미
미미짱&루~코토
오렌지
쿠루미
엘리
환상향 4면 중보스
(카자미) 유카
무게츠
겐게츠
괴기담 1면 중보스
사라
루이즈
앨리스 (마가트로이드)
유키
마이
괴기담 5면 중보스
유메코
신키
루미아
대요정
치르노
홍 메이링
소악마
파츄리 노우렛지
이자요이 사쿠야
레밀리아 스칼렛
플랑드르 스칼렛
레티 화이트락
첸
릴리 화이트
리리카 프리즘리버
메를랑 프리즘리버
루나사 프리즘리버
콘파쿠 요우무
사이교우지 유유코
야쿠모 란
야쿠모 유카리
우사미 렌코
마에리베리 한
모리치카 린노스케
토키코
리글 나이트버그
미스티아 로렐라이
카미시라사와 케이네
이나바 테위
레이센 우동게인 이나바
야고코로 에이린
호라이산 카구야
후지와라노 모코우
이부키 스이카
서니 밀크
루나 차일드
스타 사파이어
메디슨 멜랑콜리
샤메이마루 아야
오노즈카 코마치
시키에이키 야마자나두
히에다노 아큐
와타츠키노 요리히메
와타츠키노 토요히메
레이센
아키 시즈하
아키 미노리코
카기야마 히나
카와시로 니토리
이누바시리 모미지
코치야 사나에
야사카 카나코
모리야 스와코
나가에 이쿠
히나나위 텐시
키스메
쿠로다니 야마메
미즈하시 파르시
호시구마 유기
코메이지 사토리
카엔뵤 린
레이우지 우츠호
코메이지 코이시
나즈린
타타라 코가사
쿠모이 이치린&운잔
무라사 미나미츠
토라마루 쇼
히지리 뱌쿠렌
호쥬 누에
히메카이도 하타테
이바라키 카센
카소다니 쿄코
미야코 요시카
곽청아
소가노 토지코
모노노베노 후토
토요사토미미노 미코
후타츠이와 마미조
모토오리 코스즈
하타노 코코로
와카사기히메
세키반키
이마이즈미 카게로
츠쿠모 벤벤
츠쿠모 야츠하시
키진 세이자
스쿠나 신묘마루
호리카와 라이코
스미레코
세이란
링고
도레미 스위트
키신 사구메
클라운피스
순호
헤카티아 라피스라줄리








































































































































































마을 사람 남자
바깥 세계 남자 오타쿠
바깥 세계 보통 남자
마을 사람 여자
바깥 세계 여자 관광인
바깥 세계 아가씨
농부
시녀
노인
아이 남자
아이 여자
후타쿠치온나
아카나메
시즈카모치
요호
요괴토끼
요정(빨강)
요정(노랑)
요정(검정)
해바라기 요정
메이드 요정(분홍)
메이드 요정(노랑)
좀비 페어리

남자 유령
여자 유령
귀신
남자 캇파
여자 캇파
남자 텐구
여자 텐구
남자 오니
여자 오니
남자 마계인
여자 마계인
환상향 여자 노년
환상향 청년 남자 2
환상향 청년 여자 2
행상인
마리사 아버지
새
카미마이
키키모라
테노메
후다카에시





포컬같은 놈
차장

하양 해방 전선 요정
파란 해방 전선 요정
노랑 해방 전선 요정
하양 지옥 요정
검정 지옥 요정
노랑 지옥 요정










































레이무
마리사
신교쿠
유겐마간
엘리스
사리엘
미마
키쿠리
콘가라
리카
저주 소녀
메이라
천사
엘렌
코토히메
카나
리카코
치유리
유메미
미미짱&루~코토
오렌지
쿠루미
엘리
환상향 5면 중보스
유카
무게츠
겐게츠
괴기담 1면 중보스
사라
루이즈
앨리스
유키
마이
괴기담 5면 중보스
유메코
신키
루미아
대요정
치르노
메이린
소악마
파츄리
사쿠야
레밀리아
플랑드르
레티
첸
릴리
리리카
메를랑
루나사
요우무
유유코
첸
유카리
렌코
메리
린노스케
토키코
리글
미스티아
케이네
테위
우동게
에이린
카구야
모코우
스이카
서니
루나
스타
메디슨
아야
코마치
시키에이키
아큐
요리히메
토요히메
레이센
시즈하
미노리코
히나
니토리
모미지
사나에
카나코
스와코
이쿠
텐시
키스메
야마메
파르시
유기
사토리
린
우츠호
코이시
나즈린
코가사
이치린&운잔
무라사
쇼
뱌쿠렌
누에
하타테
카센
쿄코
요시카
청아
토지코
후토
미코
마미조
코스즈
코코로
와카사기히메
세키반키
카게로
벤벤
야츠하시
세이자
신묘마루
라이코
스미레코
세이란
링고
도레미
사구메
클라운피스
순호
헤카티아

















































































































































































































































































































































































간판 가로
간판 세로
간판 세로 흰색
음양옥
인형 상자용 아큐 인형 위
자를 수 있는 나무
부술 수 있는 바위
인형 상자용 아큐 인형
떠다니는 의자
떨어진 의자
떠다니는 사진
떨어진 사진
까마귀
닭
개 1
개 2
고양이 1
고양이 2
고양이 3
고양이 4
마계인(빨강)
마계인(노랑)
마계인(하양)
판데모도아(왼쪽)
판데모도아(가운데)
판데모도아(오른쪽)
고양이 오린
직립 파체 인형
개구리
얼음
마을 아가씨 (노랑)
테디 베어1
테디 베어2
테디 베어3
테디 베어4
청아(벽)
케이크
핑크 요정 (정면)
벌집
메이드 요정(파랑)
메이드 요정(노랑)
아야(펜 없음)
아야(책)
미코 (책)
레이센(약장수)
스미레코(망토없음)
가짜 아큐
메이링(잠)
루~코토
와카사기히메(물위)
스키마
미미짱
짐수레 과일
짐수레 돌
유카리(그림자)
삼월정
마미조(인간)
신키 2
거대 스이카 머리
거대 스이카 몸통
겐 영감님
코이시(그림자)
커다란 스이카
무게츠겐게츠
