0,NULL,인형 설명
1,레이무,하쿠레이 레이무의 힘을 가지고있는 인형. 하늘을  날고 영력을 사용하는 정도의 능력을 갖고있다. 요 괴 상대로 강한 인형이며 눈에 보이는 모든 요괴 인형들을 두들겨 팰 것이다.
2,마리사,키리사메 마리사의 힘을 갖고 있는 인형. 마법을 사용하는 정도의 능력을 갖고 있다. 사람들의 물건을 챙겨서 자신의 거처에 두는 습성이 있으며 싫어하는 상대에게는 마법을 쏜다.
3,신교쿠,신교쿠의 힘을 가지고 있는 인형. 문을 발견하면 무엇이 있든 지키려고 한다. 남자와 여자와 음양옥이 모여서 힘을 발휘한다.
4,유겐마간,유겐마간의 힘을 갖고 있는 인형. 커다란 눈에서 여러가지 탄막을 쏜다. 마계의 문 주변을 어슬렁거리 는 일이 많다.
5,엘리스,엘리스의 힘을 가진 인형. 마법봉에서 악마의 힘을 쏜다. 박쥐 인형을 조종하거나 자신이 박쥐 인형으 로 변신하는 것도 가능하다.
6,사리엘,사리엘의 힘을 갖고 있는 인형. 마계에서 죽음의 천사의 힘을 자유롭게 휘두른다. 무엇을 목적으로 행 동하는지 인형 자신도 알지 못한다.
7,미마,미마의 힘을 갖고 있는 인형. 레이무의 인형이 가지고 있는 음양옥을 따라다닌다. 다리가 없고 유령처 럼 떠 있지만 자유롭게 다리를 만드는 것도 가능한 듯하다.
8,키쿠리,키쿠리의 힘을 갖고 있는 인형. 원반 모양의 물체에서 상반신이 나와 있다. 지옥에서 잘 발견되지만 환상향에서 발견되기도 한다. 지옥의 신의 힘을 품고 있다.
9,콘가라,콘가라의 힘을 갖고 있는 인형. 지옥의 검사의 힘을가진 칼로 싸운다. 부처 인형이지만 얼굴의 뿔 때문에 오니 인형으로 착각하기 쉽다.
10,리카,리카의 힘을 갖고 있는 인형. 장난감 전차로 싸운다. 인형이 직접 전차를 만들어 싸우기도 한다. 작은 이블아이Σ을 발견했다면 리카 인형이 옆에 있을 것이다.
11,중보스,븬뻷?2뽋뭷?긚
12,메이라,메이라의 힘을 갖고 있는 인형. 하쿠레이의 힘을 얻기 위해 레이무 인형에게 싸움을 걸고 있다. 다른  인형과 달리 상식이 있는 듯하다. 하쿠레이 신사 주변에서 땅에 묻혀 있는 경우가 많다.
13,중보스,븬뻷?4뽋뭷?긚
14,엘렌,엘렌의 힘을 갖고 있는 인형. 폭신폭신머리가 챠밍 포인트. 하쿠레이 신사 근처의 마법전문점에서 놀고있다. 옆에 있는 고양이 인형의 이름은 소크라테스.
15,코토히메,코토히메의 힘을 가진 인형. 이상한 것을 발견하면 수집한다.장난감 수갑으로 인요를 불문하고 잡아다 니며 돌아다니고 있다.
16,카나,카나·아나베랄의 힘을 가진 인형. 시끄러운 영혼의힘을 갖는다. 밖의 세계의 도로 표지판을 닮은 장난감을 갖고 있다. 큰 집이나 하쿠레이 신사 주변에서흔히 보인다.
17,리카코,아사쿠라 리카코의 힘을 가진 인형. 대단한 마력을 지니고 있는 인형. 갓파와 함께 무언가를 만들고 부수고 있다. 안경이 깨지는 일도 자주.
18,치유리,키타시라카와 치유리의 힘을 가진 인형. 머리는 좋 은데 행동은 그렇지 않다. 집안일을 맡기면 의외로 솜씨 좋게 끝내 준다. 유메미 인형에게 잘 맞는다.
19,유메미,오카자키 유메미의 힘을 가진 인형. 매우 영리하여 인형 이라고는 생각되지 않는 지식을 선보인다. 마 법에 관련된 것들에 매우 깊은 관심을 가진다. 우츠호 인형에 관심을 갖고 있다.
20,미미짱&루토~코,미미짱&루토~코의 힘을 가진 인형. 핵의 힘을 내장 하고있다. 각각 내부에 핵이 탑재되어있다. 미미짱 는 마리사의 것이며 레이무 인형을 찾고있다.
