아이템ID,명칭,가격,샘플,전투,통상,버린다,장식,전생,스킬ID,설명문.
0,없음,0,255,0,0,0,0,0,0,1,NULL.
1,Item001,0,255,0,0,1,0,0,0,1,Item００１.
2,Item002,0,255,0,0,1,0,0,0,1,Item００２.
3,Item003,0,255,0,0,1,0,0,0,1,Item００３.
4,Item004,0,255,0,0,1,0,0,0,1,Item００４.
5,Item005,0,255,0,0,1,0,0,0,1,Item００５.
6,Item006,0,255,0,0,1,0,0,0,1,Item００６.
7,Item007,0,255,0,0,1,0,0,0,1,Item００７.
8,Item008,0,255,0,0,1,0,0,0,1,Item００８.
9,Item009,0,255,0,0,1,0,0,0,1,Item００９.
10,염주,100,0,0,1,1,0,0,0,1,일회용 염주.\n100걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
11,부적,200,0,0,1,1,0,0,0,1,일회용 부적.\n200걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
12,구옥,300,0,0,1,1,0,0,0,1,일회용 구옥.\n300걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
13,Item013,0,255,0,0,1,0,0,0,1,Item０１３.
14,Item014,0,255,0,0,1,0,0,0,1,Item０１４.
15,Item015,0,255,0,0,1,0,0,0,1,Item０１５.
16,동전,400,0,0,0,1,0,0,0,1,화폐로서는 쓸 수 없다.\n싼 가격에 팔 수 있다.
17,시계,400,0,0,0,1,0,0,0,1,바깥 세계에서 흘러 들어온 시간을\n알려주는 도구.\n싼 가격에 팔 수 있다. 
18,Item018,0,255,0,0,1,0,0,0,1,Item０１８.
19,Item019,0,255,0,0,1,0,0,0,1,Item０１９.
20,사금,1000,0,0,0,1,0,0,0,1,모래 형태의 순금.\n그럭저럭한 가격에 팔 수 있다.\n원령은 씌여지지 않았다.
21,진주,1000,0,0,0,1,0,0,0,1,백색의 보석.\n그럭저럭한 가격에 팔 수 있다.
22,Item022,0,255,0,0,1,0,0,0,1,Item０２２.
23,Item023,0,255,0,0,1,0,0,0,1,Item０２３.
24,버섯 분말,3000,0,0,0,1,0,0,0,1,무엇에 쓰이는지 알 수 없다.\n좋은 가격에 팔 수 있다.\n취급주의.
